"Hulii","",
"Remove from compare","取消對比",
"Resetting the password ...","重置密碼",
"Error while sending reset password e-mail","發送重置密碼電子郵件時出錯",
"Authorization in progress ...","授權進行中......",
"You have been successfully subscribed to our newsletter!","您已成功訂閱我們的電子信！",
"Everything new","所有新款",
"Get inspired","靈感",
"Size guide","尺碼指南",
"Add to favorite","加入我的最愛",
"Add to compare","加入對比",
"Product details","產品詳情",
"Filters","篩選",
"My account","我的帳戶",
"My Account","我的帳戶",
"Logout","登出",
"Enter your email to receive instructions on how to reset your password.","輸入您的電子郵件以獲取有關重置密碼的說明。",
"Reset password","重置密碼",
"or","或者",
"return to log in","返回登錄",
"Back to login","回到登錄",
"We've sent password reset instructions to your email. Check your inbox and follow the link.","我們已將重置密碼說明發送到您的電子郵箱。請檢查您的收件箱並點擊鏈接重置密碼。",
"Log in","登錄",
"Remember me","記住帳戶",
"Forgot your password?","忘記密碼？",
"Log in to your account","登錄帳戶",
"You must accept the terms and conditions.","您必須接受條款和條件。",
"Register","註冊",
"register an account","註冊新帳戶",
"login to your account","登錄到您的帳戶",
"Filter","篩選",
"color filter","顏色篩選",
"size filter","大小篩選",
"price filter","價格篩選",
"memory filter","記憶篩選",
"product model filter","型號篩選",
"Price","價格",
"Order Summary","您的訂單",
"Safety","安全",
"Shipping","送貨",
"Payment Options","付款方式"
"Returns","退貨",
"Confirm & Pay","確認及付款",
"Please verify that you have entered everything correctly","請確認您的輸入正確",
"I agree to the","我同意",
"Terms and conditions","條款和條件",
"Place order","下訂單",
"Edit payment","編輯付款",
"We will send you the invoice to given e-mail address","我們將發票寄給您指定的電郵l地址",
"Payment method","付款方法",
"Phone number may be needed by carrier","快遞将需要電話號碼",
"Personal Details","個人資料",
"Edit personal details","更改個人資料",
"Continue to shipping","繼續去送貨詳情",
"We will send you details regarding the order","我們會將關於訂單的詳細信息電郵给你",
"The new account will be created with the purchase. You will receive details on e-mail.","新帳戶將與購買來創建。您將收到電子郵件的詳細信息。",
"Qty","數量",
"Edit shipping","更改送貨詳情",
"Ship to my default address","寄到我的默認地址",
"Shipping method","送貨方式",
"Continue to payment","繼續付款",
"Continue to Payment","繼續付款",
"Departments","部門",
"Women fashion","女裝",
"Men's fashion","男裝",
"Kidswear","童裝",
"Home","家",
"Orders","訂單",
"Track my order","追踪我的訂單",
"Delivery","交貨",
"Return policy","退貨政策",
"Customer service","客戶服務",
"Contact us","聯繫我們",
"About us","關於我們",
"Price: High to low","價格：高至低",
"Price: Low to high","價格：低至高",
"Clear","清空",
"About us","關於我們",
"Store locator","店鋪地址",
"Legal notice","法律聲明",
"Privacy policy","隱私政策",
"Subscribe to the newsletter and receive a coupon for 10% off","訂閱電子信即可获得10％折扣優惠券",
"Subscribe","訂閱",
"Return to shopping","返回購物",
"Login to your account","登錄到您的帳戶",
"You are logged in as","您登錄為",
"Edit","編輯",
"Shopping cart","購物車",
"Your shopping cart is empty.","你的購物車是空的。",
"Don't hesitate and","不要猶豫，",
"browse our catalog","瀏覽我們的目錄",
"to find something beautiful for You!","找到一些適合您的美物！",
"Shopping summary","購物概要",
"Go to checkout","去結賬",
"Remove","刪除",
"My newsletter","我的電子信",
"Edit newsletter preferences","編輯電子信選擇",
"Cancel","取消",
"Update my preferences","更新我的喜好",
"My profile","我的簡歷",
"Edit your profile","編輯您的個人資料",
"Update my profile","更新我的個人資料",
"My shipping details","我的送貨詳情",
"Edit your shipping details","更改您的送貨詳情",
"Update my shipping details","更新我的送貨詳情",
"Country","國家",
"Similar products","相似產品",
"We found other products you might like","我們找了些您可能會喜歡的產品",
"No results were found.","沒有找到任何結果。",
"Magazine","雜誌",
"Sale","特價",
"My orders","我的訂單",
"My loyalty card","我的會員卡",
"My product reviews","我的商品評論",
"Wishlist","收藏",
"Your wishlist is empty.","你的收藏夹是空的。",
"Add to cart","添加到購物車",
"Select color","選擇顏色",
"See details","查看詳細信息",
"We use cookies to give you the best shopping experience.","我們使用cookies來給你最好的購物體驗。",
"Newsletter","電子信",
"Sign up to our newsletter and receive a coupon for 10% off!","訂閱我們的電子信即可获得10％折扣優惠券",
"Quantity","數量",
"Price","價錢",
"Select size","選擇尺寸",
"You have no items to compare.","您沒有可比較的項目。",
"New Luma Yoga Collection","新Luma Yoga系列",
"We can't find the page","無法找到該網頁",
"Unfortunately we can't find the page you are looking for.","很遺憾，我們找不到您要查找的頁面。",
"If you need an assistance you can drop us a line on","如果你需要幫助，您可以通過...聯繫我們",
"a chat","聊天",
"or write to us through","或通過...寫信給我們",
"a contact page","聯繫頁面",
"You can also use","您還可以用",
"search","搜索",
"to find product you were looking for.","找到您要找的產品。",
"See our bestsellers","請參閱我們的暢銷書",
""You are offline"," some of the functionalities are limited"","您現在是離線狀態，一些功能性是有限的",
"Search","搜索",
"Help","幫助",
"Go to Facebook","去Facebook",
"Go to Instagram","去Instagram",
"Go to Pinterest","去Pinterest",
"Go to Youtube","去YouTube",
"I accept","我接受",
"Use my billing data","用我的結帳信息",
"I want to generate an invoice for the company","我想為該公司生成發票",
"Field is required","字段必填",
"Name must have at least 3 letters.","名稱必須至少有3個字母。",
"Zip-code must have at least 3 letters.","郵政編碼必須至少有3個字母。",
"I want to create an account","我想創建一個帳戶",
"Copy address data from shipping","從送貨信息複製地址數據",
"Tax identification number must have at least 3 letters.","納稅識別號必須至少有3個字母。",
"Please provide valid e-mail address.","請提供有效的電子郵件地址。",
"Use my company's address details","使用我公司的詳細地址",
"Passwords must be identical","密碼必須是相同的",
"E-mail address *","電子郵件地址 *",
"Password *","密碼*",
"First name","名字",
"Last name","姓",
"Email address","電子郵件地址",
"Change my password","修改我的密碼",
"I have a company and want to receive an invoice for every order","我有一個公司，並希望收到每一份訂單的發票",
"Company name *","公司名 *",
"Street name *","街道名稱 *",
"House/Apartment number *","屋苑/公寓號碼*",
"City *","城市*",
"Zip-code *","郵政編碼 *",
"Tax ID *","稅號*",
"State / Province","州/省",
"City","市",
"Phone Number","電話號碼",
"House/Apartment number","屋苑/公寓號碼",
"Street name","街道名稱",
"Zip-code","郵政編碼",
"Current password *","當前密碼 *",
"New password *","新密碼 *",
"Repeat new password *","重複新密碼 *",
"Passwords must be identical.","密碼必須相同。",
"First name *","名字 *",
"Last name *","姓 *",
"Repeat password *","重複輸入密碼 *",
"Email address *","電子郵件地址 *",
"I want to create an account","我想創建一個帳戶",
"Tax identification number *","納稅識別號*",
"No products found!","找不到產品！",
""Please change Your search criteria and try again. If you still can't find what you\'re looking for"," try visiting our homepage to check out our bestsellers!"","請更改您的搜索條件，然後再試一次。如果你仍然無法找到你要的產品，嘗試訪問我們的主頁，看看我們的熱門產品！",
"Open my account","打開我的賬戶",
"Open wishlist","打開收藏夾",
"Open search panel","打開搜索面板",
"Open menu","打開菜單",
"Show subcategories","顯示類別",
"Back","回",
"Close","關",
"View all","查看全部",
"Create a new account","創建一個新賬戶",
"I accept terms and conditions","我接受條款和條件",
""I want to receive a newsletter"," and agree to its terms"","我希望收到電子信，並同意其條款",
"Use my company's address details","使用我公司的詳細地址",
"Tax ID must have at least 3 letters.","稅號必須至少有3個字母。",
"Country *","國家*",
"Toggle password visibility","切換密碼隱密",
"You've entered an incorrect coupon code. Please try again.","你輸入了錯誤的優惠碼。請再試一次。",
"Add a discount code","添加一個優惠碼",
"Discount code","優惠碼",
"Add discount code","加入優惠碼",
"Order ID","訂單ID",
"Date and time","日期和時間",
"Author","作者",
"Value","值",
"Type","類型",
"Status","狀態",
"Purchase","採購",
"View order","查看訂單",
"Remake order","重下訂單",
"No orders yet","沒有訂單",
"Order #","訂單號",
"Items ordered","訂購的商品",
"Product Name","產品名稱",
"SKU","SKU",
"Subtotal","小計",
"Tax","稅",
"Discount","折扣",
"Order informations","訂單信息",
"Shipping address","收件地址",
"Billing address","帳單地址",
"Order confirmation","訂單確認",
"Your purchase","您的購買",
"You have successfuly placed the order. You can check status of your order by using our 'delivery status' feature. You will receive an order confirmation e-mail with details of your order and a link to track its progress.","您已成功下單。 您可以使用我們的“送貨狀態”功能查看訂單狀態。 您將收到訂單確認電子郵件，其中包含訂單的詳細信息以及跟踪訂單進度的鏈接。",
""E-mail us at demo@vuestorefront.io with any questions"," suggestions how we could improve products or shopping experience"","如有任何問題，或是有幫助我們改進產品或購物體驗的建議，請發送電子郵件至demo@vuestorefront.io",
"Your Account","你的帳戶",
"What we can improve?","我們有什麼需要改進？",
"Your feedback is important for us. Let us know what we could improve.","您的意見對我們很重要。請告訴我們有什麼需要改進。",
"Type your opinion","輸入您的意見",
"Give a feedback","提供反饋",
"Choose your country","選擇你的國家",
""You can log to your account using e-mail and password defined earlier. On your account you can edit your profile data","check history of transactions"," edit subscription to newsletter."","您可以使用之前定義的電子郵件和密碼登錄您的帳戶。 在您的帳戶中，您可以編輯個人資料數據，查看交易記錄，編輯訂閱電子信。",
"United States","美國",
"English","英語",
"Germany","德國",
"German","德語",
"Italy","意大利",
"Italian","意大利",
"Sort By","排序方式",
"Custom Cms Page","定制CMS頁",
